sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,spam,spam,spam,spam,spam,spam,spam,1.0
Any pain on urination any thing else?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,not spam,spam,spam,spam,spam,spam,spam,1.0
At home watching tv lor.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Does she usually take fifteen fucking minutes to respond to a yes or no question,not spam,not spam,spam,spam,spam,not spam,spam,0.6
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam,spam,spam,spam,spam,spam,spam,1.0
Booked ticket for pongal?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Ask g or iouri, I've told the story like ten times already",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
How long does applebees fucking take,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
hanks lotsly!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,spam,spam,spam,spam,spam,spam,1.0
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",not spam,spam,not spam,spam,spam,not spam,spam,0.6
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Great. Never been better. Each day gives even more reasons to thank God,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",spam,spam,spam,spam,spam,spam,spam,1.0
Ok i am on the way to railway,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,spam,spam,spam,spam,spam,spam,1.0
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",not spam,spam,spam,spam,spam,spam,spam,1.0
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,spam,spam,spam,spam,spam,spam,spam,1.0
Ok I'm gonna head up to usf in like fifteen minutes,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Almost there, see u in a sec",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Thank you baby! I cant wait to taste the real thing...,not spam,not spam,spam,spam,spam,spam,spam,0.8
If we win its really no 1 side for long time.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam,spam,spam,spam,spam,spam,spam,1.0
Dear reached railway. What happen to you,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",not spam,not spam,spam,spam,spam,spam,spam,0.8
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,spam,spam,spam,spam,spam,spam,1.0
Dear i have reache room,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
When can Ì_ come out?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Lolnice. I went from a fish to ..water.?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam,spam,spam,spam,spam,spam,spam,1.0
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,not spam,spam,spam,spam,not spam,not spam,spam,0.6
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Prabha..i'm soryda..realy..frm heart i'm sory,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,spam,spam,spam,spam,spam,spam,1.0
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam,spam,spam,spam,spam,spam,spam,1.0
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam,spam,spam,spam,spam,spam,spam,1.0
Were gonna go get some tacos,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"That's very rude, you on campus?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,spam,spam,spam,spam,spam,spam,1.0
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",spam,spam,spam,spam,spam,spam,spam,1.0
Yes! How is a pretty lady like you single?,not spam,not spam,not spam,spam,spam,spam,spam,0.6
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam,spam,spam,spam,spam,spam,spam,1.0
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,spam,spam,spam,spam,spam,spam,spam,1.0
"Probably gonna be here for a while, see you later tonight &lt;)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,spam,spam,spam,spam,spam,spam,spam,1.0
But am going to college pa. What to do. are else ill come there it self. Pa.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",not spam,spam,spam,spam,spam,spam,spam,1.0
O. Well uv causes mutations. Sunscreen is like essential thesedays,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",not spam,spam,spam,spam,spam,not spam,spam,0.8
Hi msg me:)i'm in office..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,spam,spam,spam,spam,spam,spam,spam,1.0
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,not spam,spam,spam,spam,spam,spam,spam,1.0
Waiting for your call.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Nope i waiting in sch 4 daddy... ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",spam,spam,spam,spam,spam,spam,spam,1.0
"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",spam,spam,spam,spam,spam,spam,spam,1.0
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",not spam,spam,spam,spam,not spam,not spam,spam,0.6
Huh so early.. Then Ì_ having dinner outside izzit?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam,spam,spam,spam,spam,spam,spam,1.0
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam,spam,spam,spam,spam,spam,spam,1.0
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam,spam,spam,spam,spam,spam,spam,1.0
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,spam,spam,spam,spam,spam,spam,spam,1.0
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,spam,spam,spam,spam,spam,spam,1.0
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam,spam,spam,spam,spam,spam,spam,1.0
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam,spam,spam,spam,spam,spam,spam,1.0
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,not spam,spam,spam,spam,spam,spam,spam,1.0
I have many dependents,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
For my family happiness..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Dear we got  &lt;#&gt;  dollars hi hi,not spam,spam,spam,spam,not spam,spam,spam,0.8
"sorry, no, have got few things to do. may be in pub later.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,spam,spam,spam,spam,spam,spam,spam,1.0
Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,spam,spam,spam,spam,spam,spam,spam,1.0
Thank u!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,spam,spam,spam,spam,spam,spam,1.0
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"What will we do in the shower, baby?",not spam,not spam,not spam,not spam,not spam,spam,not spam,0.2
Probably gonna swing by in a wee bit,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam,spam,spam,spam,spam,spam,spam,1.0
No prob. I will send to your email.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,spam,spam,spam,spam,spam,spam,1.0
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),not spam,not spam,not spam,not spam,not spam,spam,not spam,0.2
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Tell them the drug dealer's getting impatient,not spam,spam,not spam,spam,spam,spam,spam,0.8
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
88800 and 89034 are premium phone services call 08718711108,spam,spam,spam,spam,spam,spam,spam,1.0
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
